keys,en,pt_BR
PAUSE_TITLE,PAUSED,PAUSADO
PAUSE_HINT,The match keeps running for everyone else.,A partida continua para os outros.
PAUSE_CREW_TITLE,IN THE MATCH,NA PARTIDA
PAUSE_RESUME,Resume,Continuar
PAUSE_HOWTO,How to play,Como jogar
PAUSE_LEAVE,Leave match,Sair da partida
PAUSE_QUIT,Quit game,Sair do jogo
PAUSE_SETTINGS,Settings,Configurações
PAUSE_HOST_MARK, (host), (host)
HELP_TITLE,HOW TO PLAY,COMO JOGAR
HELP_CONTROLS,"WASD / arrows — move
Shift — run
Space — jump
Mouse — look around
Left button — grab the rat
Left button (holding) — strangle
1 2 3 — switch weapon
E — use the computer
E (holding) — clean a sprung trap ($2 to set it again)
Esc — release the mouse","WASD / setas — mover
Shift — correr
Espaço — pular
Mouse — olhar ao redor
Botão esquerdo — pegar o rato
Botão esquerdo (segurando) — estrangular
1 2 3 — trocar de arma
E — usar o computador
E (segurando) — limpar uma armadilha disparada ($2 para armar de novo)
Esc — soltar o mouse"
HELP_BACK,Back,Voltar
MENU_PLAY,PLAY,JOGAR
MENU_FIND_LOBBY,FIND LOBBY,PROCURAR LOBBY
MENU_SETTINGS,SETTINGS,CONFIGURAÇÕES
MENU_WAITING_ON_CREW,The crew is not ready yet.,A equipe ainda não está pronta.
MENU_STEAM_OFFLINE,Steam is not running — solo only.,Steam não está rodando — apenas solo.
MENU_OPENING_LOBBY,Opening a lobby...,Abrindo um lobby...
MENU_HOSTING_LOBBY,Hosting a lobby.,Hospedando um lobby.
MENU_JOINED_LOBBY,Joined a lobby.,Entrou em um lobby.
MENU_LEFT_LOBBY,Left the lobby.,Saiu do lobby.
MENU_PLAY_COUNT,PLAY  %d/%d,JOGAR  %d/%d
MENU_CANCEL,CANCEL,CANCELAR
MENU_READY,READY,PRONTO
MENU_INVITE_TOOLTIP,Invite a friend,Convidar um amigo
LOBBY_CODE_PLACEHOLDER,LOBBY ID,ID DO LOBBY
LOBBY_JOIN,JOIN,ENTRAR
LOBBY_REFRESH,REFRESH LIST,ATUALIZAR LISTA
LOBBY_LEAVE,LEAVE LOBBY,SAIR DO LOBBY
LOBBY_STEAM_OFFLINE,Steam is not running.,Steam não está rodando.
LOBBY_PASTE_ID,"Paste a lobby ID, or pick one from the list.","Cole um ID de lobby, ou escolha um da lista."
LOBBY_ALREADY_YOURS,That one is yours — you are already in it.,Esse é o seu — você já está nele.
LOBBY_JOINING,Joining...,Entrando...
LOBBY_LOOKING,Looking for lobbies...,Procurando lobbies...
LOBBY_NONE_OPEN,No lobbies open.,Nenhum lobby aberto.
LOBBY_COUNT_OPEN,%d lobby(s) open.,%d lobby(s) aberto(s).
LOBBY_YOURS,  - YOURS,  - SEU
LOBBY_HOST_HIDDEN,HOST,ANFITRIÃO
LOBBY_ID_HIDDEN,HIDDEN,OCULTO
SETTINGS_FULLSCREEN,Fullscreen,Tela cheia
SETTINGS_SOUND_VOLUME,Sound Volume,Volume do Som
SETTINGS_MUSIC_VOLUME,Music Volume,Volume da Música
SETTINGS_VOICE_VOLUME,Voice Volume,Volume da Voz
SETTINGS_STREAMER_MODE,Streamer Mode,Modo Streamer
SETTINGS_LANGUAGE,Language,Idioma
CONTRACT_VOTE_TITLE,Choose the contract,Escolha o contrato
CONTRACT_VOTE_RATS,%d rats,%d ratos
CONTRACT_VOTE_COUNT,%d votes,%d votos
CONTRACT_VOTE_3MIN,3 min,3 min
CONTRACT_VOTE_5MIN,5 min,5 min
CONTRACT_VOTE_10MIN,10 min,10 min
CONTRACT_VOTE_RATE,$%d/rat,$%d/rato
CONTRACT_VOTE_START,START,COMEÇAR
CONTRACT_VOTE_PICK_ONE,Pick a job.,Escolha um contrato.
CONTRACT_VOTE_WAITING_HOST,Waiting for the crew leader to confirm.,Aguardando o líder da equipe confirmar.
BIG_FONT_DEFAULT,Hello World,Olá mundo
PHASE_LOBBY,LOBBY,LOBBY
PHASE_TRAVEL,TRAVEL,VIAGEM
PHASE_SURVEY,SURVEY,VISTORIA
PHASE_HUNT,HUNT,CAÇADA
PHASE_RESULT,RESULT,RESULTADO
HUD_WAGER,x%d PAY,x%d PAGAMENTO
HUD_READY,%d/%d READY,%d/%d PRONTOS
HUD_RATS,Rats: %d / %d,Ratos: %d / %d
HUD_MONEY_TOTAL,$ %d,$ %d
HUD_MONEY_NOTICE,+$%d  %s,+$%d  %s
HUD_INTERACT_PROMPT,E — %s,E — %s
HUD_STRANGLE_BUTTON,CLICK,CLIQUE
HUD_STRANGLE_INSTRUCTION,hammer to strangle,martele para estrangular
PROMPT_STUDY_PLAN,study the plan,estude o plano
PROMPT_USE_TERMINAL,use the terminal,use o terminal
PROMPT_CLEAN_TRAP,clean the trap,limpe a armadilha
PROMPT_STEP_AWAY_TABLE,step away from the table,afaste-se da mesa
PROMPT_STEP_BACK_TERMINAL,step back from the terminal,afaste-se do terminal
PROMPT_READY_UP,ready up,fique pronto
PROMPT_STAND_DOWN,stand down,cancele a prontidão
DEATH_NATURAL_CAUSES,natural causes,causas naturais
DEATH_STRANGULATION,strangulation,estrangulamento
DEATH_POISON,poison,veneno
DEATH_TRAP,trap,armadilha
DEATH_PIERCING,piercing,perfuração
DEATH_GUNSHOT,gunshot,tiro
DEATH_CRUSHING,crushing,esmagamento
